"","X","Classroom.ID","week","Usage.Week","Active.Users...Total","Minutes.per.Active.User","Badges.per.Active.User","Boosts.per.Tower.Completion","Tower.Alerts.per.Tower.Completion","Teacher.User.ID","teacher_number_classes","year","Grade.Level","MDR.School.ID","Students...Total","District.Rollup.ID","poverty","income","charter.school","school.account","zipcode","tch_min","User.Session","RD.elementary_schedule","RD.whole_group_fluency","RD.mission_overview","Guided.Practice.Completed","RD.small_group_lessons","Tower.Completed","Fluency.Completed","Number.Gym.Activity.Completed","RD.grade_level_overview","Tower.Stage.Failed","RD.optional_problem_sets","RD.student_notes_and_exit_tickets","Kindergarten.Activity.Completed","Tower.Struggled","RD.k_mission","RD.whole_group_word_problems","RD.assessments","RD.teaching_and_learning_approach","RD.optional_homework","RD.k_schedule","RD.curriculum_map","RD.assessments_answer_key","RD.pd_course_notes","RD.pd_course_guide","min_week","mean_act_st","Tsubj","st_login","tch_login","n_weeks","set","PCA1","PCA2","PCA3","FrobeniusNNDSVD1","FrobeniusNNDSVD2","FrobeniusNNDSVD3","FrobeniusNNDSVDA1","FrobeniusNNDSVDA2","FrobeniusNNDSVDA3","Kullback.Leibler1","Kullback.Leibler2","Kullback.Leibler3","Autoencoder1","Autoencoder2","Autoencoder3","state","FrobeniusNNDSVD1bin","FrobeniusNNDSVD2bin","FrobeniusNNDSVD3bin","FrobeniusNNDSVDA1bin","FrobeniusNNDSVDA2bin","FrobeniusNNDSVDA3bin","Kullback.Leibler1bin","Kullback.Leibler2bin","Kullback.Leibler3bin","row_n"
"21",210,3039,26,"2020-02-17",15,4.56746831880408,0.494668303692545,6.7,1.06471073699243,68760,3,2020,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,3.01062088604774,1.6094379124341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.0507482707372516,-0.0574663648449223,-0.0363686417233764,0.0327383543865095,0,8.82528673322278e-05,0.0295856149001725,1.24200746135666e-13,0.000484691624486036,0.0223583887580827,2.73771642012348e-88,6.51693241775501e-50,-0.0180830359458923,-0.00893022119998932,0.150592967867851,1,1,0,0,1,1,0,1,1,0,21
"22",211,3039,27,"2020-02-24",15,4.75272775034571,0.532778834292323,5.6,1.22377543162212,68760,3,2020,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,0.0953101798043249,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.471182552280321,0.0591518206366786,0.00576790038384802,0.000696186118554142,0,0.000196731940642032,0.000659225236456114,1.54767174465178e-60,0.000204154462990096,0.000437416438916023,4.79292782191894e-133,8.49085726817397e-43,0.0882939994335175,0.131416782736778,0.495124459266663,1,0,0,0,0,0,0,0,0,1,22
"23",212,3039,31,"2020-03-23",2,2.77258872223978,0,0,0,68760,3,2020,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,1.80828877117927,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.243556336231653,-0.00756383631821344,-0.000749839207097298,0.0179643544772116,0,0.00102171505605942,0.0163972439104522,3.52646729221614e-18,0.00106982202771396,0.0120786097263712,5.43635647614652e-92,5.49590038526068e-48,0.0319129377603531,0.052114337682724,0.271845638751984,2,0,0,1,0,1,0,0,1,1,23
"24",213,3039,35,"2020-04-20",1,3.10009228887823,0,0,0,68760,3,2020,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,1.45861502269952,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.337147884123008,0.0104412937609292,0.0448618659982714,0.0106543449314935,0,0.00301076091404326,0.0100887002013592,5.83598808926252e-60,0.0031243545730693,0.00669416625053607,4.79292782191893e-133,1.2994301335264e-41,0.0669406652450562,0.0954311043024063,0.353619992733002,2,0,0,1,0,0,1,0,0,1,24
"25",231,7934,6,"2019-09-02",23,3.60549784517489,0.761131169738647,0.4,0,106507,2,2019,"2nd",11450270,24,398027,"0-40% (Low)","$81K-93,999",0,0,70734,0.587786664902119,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,16.875,47,1,1,32,"train",-0.363551211664467,0.0360443859803794,-0.035748810731178,0.00863203232109574,0.000465974320798576,0,0.00783363834340171,0.00020534316432813,9.80769078966899e-10,0.00647723864394009,4.74082129130925e-80,7.30807830728785e-57,0.0523220896720886,0.0851032286882401,0.401711404323578,NA,0,1,0,0,1,0,0,1,0,1
"26",232,7934,7,"2019-09-09",22,3.4626060097908,0.609143024825478,0.6,0,106507,2,2019,"2nd",11450270,24,398027,"0-40% (Low)","$81K-93,999",0,0,70734,0.8754687373539,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,16.875,47,1,1,32,"train",-0.394480489703342,0.0312769586181727,0.0281396332956674,0.00639479626861695,0,0.00180707521509939,0.00605529320213873,4.22003812171188e-60,0.00187525472147931,0.00401787530211199,4.79292782191893e-133,7.79925093718387e-42,0.08048315346241,0.115432396531105,0.419142603874207,2,0,0,1,0,0,1,0,0,1,2
"27",233,7934,9,"2019-09-23",22,3.81109708683819,0.678758085286054,0.2,0,106507,2,2019,"2nd",11450270,24,398027,"0-40% (Low)","$81K-93,999",0,0,70734,1.80828877117927,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,16.875,47,1,1,32,"train",-0.243556336231653,-0.00756383631821344,-0.000749839207097298,0.0179643544772116,0,0.00102171505605942,0.0163972439104522,3.52646729221614e-18,0.00106982202771396,0.0120786097263712,5.43635647614652e-92,5.49590038526068e-48,0.0319129377603531,0.052114337682724,0.271845638751984,2,1,0,0,1,1,0,1,1,0,3
"28",234,7934,10,"2019-09-30",23,3.62966009445396,0.558115423511839,0.4,0,106507,2,2019,"2nd",11450270,24,398027,"0-40% (Low)","$81K-93,999",0,0,70734,0.955511445027436,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,16.875,47,1,1,32,"train",-0.386611011488439,0.0284170535252959,0.0304349283485547,0.0069794622726913,0,0.0019722932143434,0.00660891898270916,4.45312923434135e-60,0.00204670627036491,0.00438522322049422,4.79292782191893e-133,8.51232398731291e-42,0.0785563886165619,0.112609282135963,0.410107851028442,2,0,0,1,0,0,1,0,0,1,4
"29",235,7934,11,"2019-10-07",23,3.8416005411316,0.633202660808924,0.4,0,106507,2,2019,"2nd",11450270,24,398027,"0-40% (Low)","$81K-93,999",0,0,70734,1.38629436111989,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,16.875,47,1,1,32,"train",-0.285045135315233,0.00751391401747835,-0.0128509001270491,0.0148819276997789,0,0.000150666660163914,0.0134687356595328,1.98676203753482e-14,0.000291988361507556,0.0101419090248343,9.78778294123745e-89,1.17636617513692e-49,0.0406446903944016,0.065355971455574,0.316937685012817,2,1,0,0,1,1,0,1,1,0,5
"30",236,7934,12,"2019-10-14",19,3.58629286533884,0.530983469836781,0.3,0,106507,2,2019,"2nd",11450270,24,398027,"0-40% (Low)","$81K-93,999",0,0,70734,1.41098697371026,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,16.875,47,1,1,32,"train",-0.341830483010941,0.0121430315435104,0.0434960897970266,0.0103064493905532,0,0.00291245075949433,0.0097592746164606,5.71068496115071e-60,0.00302233525026491,0.00647558213261531,4.79292782191893e-133,1.25699993700808e-41,0.0680432766675949,0.0970418900251389,0.358896613121033,2,0,0,1,0,0,1,0,0,1,6
