Classroom ID,Teacher User ID
625290,8619936
412705,5694848
140852,2188660
446567,6271733
401166,3597240
592865,10579171
185418,220431
754948,10656798
798794,10935297
594113,5728581
678396,3548708
625016,2699721
524903,7403622
688084,8012893
480529,6833089
639321,8869466
600714,8135089
430971,5887998
789923,10936600
238494,3415433
678484,671450
585343,1311224
608115,4953338
353637,4867039
339846,4801778
790111,10934857
717528,10150508
625202,8619954
600575,2481600
640591,8140120
591704,2266941
369639,689680
612740,6296393
806452,9896374
575513,8319600
586145,4859701
754916,10658871
798942,10936322
679357,9534990
803648,11235354
142554,953915
778017,10936198
601119,4808235
591921,2236077
584168,2267100
491202,6997654
389943,3474914
188885,2405721
713905,10107751
577323,4808058
589796,8142083
799130,10935452
10750,154787
579788,7194480
649584,8941312
289405,4134181
160337,2355792
746296,5844950
586222,8114230
674687,8655188
784091,9595980
688099,8013017
770264,10879270
83210,1368994
382317,30529
693955,9805802
591696,2267225
798856,10934995
386805,5223181
575501,323486
198223,1750580
261386,3762995
486362,1333632
592856,8181122
590662,11516388
615938,8123654
78763,24119
739200,10436738
778928,10936323
396509,4495112
587311,8120327
604994,4974960
587162,8120297
839998,11377113
289805,1709537
605004,5650354
591081,33079
596719,8164557
400701,5484069
715660,3461965
751300,10610158
667970,1154405
636506,8817448
697933,9863741
607426,5771722
448264,1721136
709142,9996739
470136,6663568
386114,2303228
624105,8619398
814626,6326060
638654,6793099
386528,4342535
600594,743683
376308,208536
577349,4808100
625269,8377281
608768,8398071
451081,6358175
751102,8074215
609353,8413160
868798,11950377
600709,8135116
798826,10934943
577361,4808078
789762,10935267
578595,4816557
789587,10934868
414368,1046787
521565,7463413
688030,9713454
789564,10935722
865656,11922234
686767,2200379
798873,10935580
556721,4531323
276422,285421
619559,8542155
612725,6296431
654331,2685993
401976,2593453
600637,8193182
716273,5728577
237117,3377967
418369,3553592
284599,4088530
60034,381785
409396,5640077
171253,2429090
173105,2449700
474081,111904
496115,7074554
582966,4035903
591682,2267160
584133,2377722
790641,11087995
494877,7055881
854639,11814658
652358,9048862
776321,10935408
649552,8941408
776175,10935940
804032,11239567
584103,9992311
790127,10935424
596235,650097
418836,5821150
473513,6722316
781245,6153607
576858,7594289
535462,6409043
380256,5099112
